CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG
01-1-000182,70.2112,163.775,70.2107,163.775,16.9994,0.552977,17.9058,16.0528,0.443009,1.11543,47.7405,0.00102076,0.00293097,0.0777152,0.0720575,1.86303,0.0113282,0.00696465,1,200
01-1-000183,69.8035,169.9,69.8036,169.9,12.3635,0.510848,13.6429,11.111,0.580283,1.22788,90.7774,0.00114341,0.00280679,0.0841659,0.0722503,1.432,0.0102453,0.011006,0.980571,140
01-1-000184,70.0836,176.849,70.0835,176.849,12.2584,0.151084,12.5245,11.9877,0.289618,1.04478,32.468,0.000409501,0.00122011,0.031096,0.0299905,2.67707,0.0111492,0.00368249,1,141
01-1-000185,70.9663,176.06,70.9661,176.059,26.0893,0.801288,27.6451,24.5072,0.462746,1.12804,130.5,0.0012214,0.00403385,0.0937,0.0871002,1.47706,0.00834044,0.00553998,0.923787,273
01-1-000186,71.0569,172.753,71.0567,172.752,23.9478,0.833426,25.9124,21.9836,0.529385,1.17871,169.596,0.00102034,0.00366038,0.0830471,0.0752588,1.02045,0.00637583,0.00552756,0.908311,235
01-1-000187,70.1593,186.71,70.1595,186.71,17.1068,0.243081,17.2868,16.8983,0.210813,1.02299,123.334,0.000687338,0.00198338,0.0505667,0.0500363,6.1089,0.0188663,0.00425793,1,193
01-1-000188,71.8679,183.871,71.8844,183.883,23.9308,0.648745,25.0011,21.759,0.492481,1.149,173.37,0.00130248,0.00328069,0.075569,0.106761,1.06457,0.00886357,0.00662149,0.809484,208
01-1-000189,72.0732,186.336,72.0937,186.379,20.2802,0.929361,22.5887,16.6556,0.675521,1.35623,164.243,0.00138825,0.00519591,0.101169,0.115785,0.845608,0.00665549,0.0112154,0.792725,185
01-1-000190,70.6566,185.803,70.6586,185.801,90.5704,1.31388,90.9726,90.1818,0.131562,1.00877,80.5962,0.00227265,0.00478974,0.170151,0.117439,8.08543,0.0170232,0.00229904,0.845377,845
01-1-000191,70.0517,193.394,70.0497,193.409,26.1729,0.616434,26.5402,25.3192,0.29983,1.04823,66.2011,0.00158189,0.00602908,0.111142,0.168013,4.40776,0.0238177,0.00822508,0.827993,230
01-1-000192,69.3409,194.749,69.356,194.747,19.676,0.293159,19.9972,18.3143,0.401532,1.09189,5.32132,0.00145476,0.00190844,0.0475661,0.110508,1.55537,0.0135486,0.00708189,0.749938,157
01-1-000193,70.0841,195.37,70.0846,195.391,13.4593,0.430399,14.4208,12.9218,0.443953,1.11601,173.367,0.00108668,0.00595084,0.155773,0.0816394,2.99021,0.0226318,0.0139656,0.81659,116
01-1-000194,70.13,196.138,70.1274,196.145,10.7417,0.290079,11.3022,9.97989,0.469371,1.1325,57.0037,0.000868104,0.00591271,0.083427,0.0987277,3.85848,0.0205036,0.0139785,0.743201,83
01-1-000195,68.2837,209.596,68.2861,209.598,14.6844,0.333492,15.3659,13.8287,0.435974,1.11116,0.058885,0.000742899,0.00196333,0.0537648,0.057508,1.60833,0.0100964,0.00603891,0.905182,154
01-1-000196,66.4176,211.754,66.418,211.754,13.2894,0.224453,13.5134,13.0676,0.254728,1.03411,23.9834,0.000785581,0.00185605,0.0576828,0.0506155,6.26628,0.0211597,0.00596061,0.875069,136
01-1-000197,65.1989,219.046,65.1989,219.046,10.4196,0.178633,10.8322,10.0091,0.38234,1.08223,21.7779,0.000324662,0.000801837,0.0253403,0.0239916,1.38082,0.0074795,0.00362474,1,121
01-1-000198,60.6891,230.375,60.689,230.375,11.9522,0.120926,12.1533,11.7454,0.256906,1.03473,171.447,0.000335538,0.00070297,0.0253335,0.0247899,2.9224,0.0107847,0.00306947,0.983138,138
01-1-000199,60.9806,230.656,60.9808,230.655,10.2113,0.250135,10.8857,9.54027,0.481584,1.14103,18.2174,0.000792994,0.00143569,0.05285,0.0487474,2.02946,0.0112414,0.00804239,0.835732,102
01-1-000200,61.1678,233.222,61.1675,233.224,44.006,1.01868,45.9884,42.0066,0.407022,1.09479,12.7664,0.00115264,0.00255127,0.0922791,0.0858239,1.02514,0.00587009,0.00313512,1,527
01-1-000201,61.8821,227.309,61.8835,227.22,96.9179,1.79374,98.6791,92.0781,0.359602,1.07169,81.1713,0.00238789,0.00911209,0.174345,0.324871,1.47515,0.00955392,0.00422874,0.785758,659
01-1-000202,61.6791,230.561,61.6969,230.45,33.487,0.426801,37.0997,34.1329,0.391842,1.08692,163.139,0.00935991,0.0356838,1.16899,0.352421,4.58948,0.0716279,0.03604,0.619978,165
01-1-000203,62.778,229.981,62.778,229.981,8.90278,0.197937,9.24524,8.55683,0.37865,1.08045,76.7279,0.000487657,0.00101103,0.0361045,0.0340047,2.41089,0.0126048,0.00601988,1,105
01-1-000204,62.7718,229.624,62.77,229.597,14.4556,0.413689,15.3213,12.8582,0.543762,1.19156,112.37,0.000261994,0.000842236,0.0197243,0.0281229,0.428051,0.0032873,0.00302406,0.787178,125
01-1-000205,68.8348,212.889,68.8348,212.889,10.2152,0.158486,10.4841,9.94157,0.317512,1.05457,88.2371,0.000407591,0.00108341,0.0302302,0.0290721,2.55299,0.0116304,0.0043309,1,119
01-1-000206,68.1561,216.793,68.1548,216.805,14.7966,0.546444,16.4018,13.4466,0.57261,1.21977,137.597,0.000797709,0.00243307,0.0732614,0.0538944,0.958741,0.00704418,0.00732017,0.907985,158
01-1-000207,68.4782,211.327,68.4812,211.331,36.0335,0.579658,36.2385,35.5045,0.200238,1.02067,155.909,0.0021353,0.00717377,0.105968,0.204444,11.2003,0.0309595,0.00659169,0.630576,258
01-1-000208,68.0666,210.611,68.0476,210.604,12.0385,0.14723,13.3926,12.0621,0.434528,1.1103,79.4116,0.00457844,0.00240249,0.298877,0.0600255,3.0393,0.0426842,0.0253866,0.692369,81
01-1-000209,69.5912,208.626,69.5912,208.626,12.4033,0.236238,12.8736,11.923,0.377141,1.07973,129.052,0.000543019,0.00152954,0.0408154,0.0388119,1.96977,0.0103349,0.00490634,0.985803,144
01-1-000210,69.8317,206.559,69.8317,206.559,9.48956,0.194959,9.82542,9.13634,0.367896,1.07542,177.604,0.000439021,0.00132036,0.0332491,0.0324908,2.28436,0.0115374,0.00527923,0.982279,105
01-1-000211,71.0464,199.829,71.0465,199.827,14.9476,0.40432,15.5371,14.2673,0.395953,1.089,8.09097,0.00113793,0.00365677,0.0879765,0.0855173,3.12642,0.0175598,0.00897946,1,165
01-1-000212,71.6891,188.876,71.6896,188.876,10.8187,0.51437,12.3882,9.34092,0.656854,1.32623,159.466,0.000610387,0.00228297,0.053639,0.0441619,0.747035,0.00554897,0.00850231,0.982052,125
01-1-000213,70.8241,181.96,70.8262,181.962,8.98056,0.0753132,9.21635,8.89286,0.262618,1.03638,63.9227,0.000591198,0.00091395,0.044829,0.0194361,3.61186,0.0189049,0.00552652,0.761933,73
01-1-000214,70.9539,179.18,70.9529,179.183,11.7861,0.454376,12.3257,11.221,0.413791,1.09845,137.538,0.00168771,0.00477812,0.13932,0.104385,4.71549,0.0293202,0.0160802,0.87309,120
01-1-000215,70.9481,177.815,70.9485,177.826,9.30406,0.194689,9.70651,9.11979,0.342402,1.06434,1.03782,0.000688787,0.0039815,0.100741,0.0480916,4.53048,0.0300135,0.0123905,0.785563,80
01-1-000216,72.1082,179.027,72.1069,179.02,11.5701,0.392416,12.0145,10.9184,0.417293,1.10039,133.656,0.00110937,0.00474059,0.0826366,0.0965551,4.43032,0.0221724,0.0123279,0.838087,108
01-1-000217,71.9936,175.429,71.9935,175.429,10.6045,0.198139,10.6405,10.5411,0.136402,1.00943,122.724,0.000715954,0.00226778,0.053765,0.0522002,24.4631,0.0509034,0.00714168,1,116
01-1-000218,71.7058,176.166,71.7333,175.914,64.5197,0.967711,70.1843,62.3887,0.45805,1.12495,3.40641,0.00256979,0.0215947,0.454243,0.131893,1.0099,0.0117457,0.00765943,0.528532,272
01-1-000219,72.6128,166.919,72.6155,166.922,91.9716,2.18558,94.9864,88.8642,0.353204,1.06889,72.7387,0.00211968,0.00676984,0.160414,0.148894,1.1594,0.00589511,0.00254286,0.995373,1059
01-1-000220,73.8351,167.261,73.834,167.256,151.279,2.74634,152.73,146.823,0.275423,1.04023,174.806,0.00647822,0.0164366,0.253781,0.576272,3.03843,0.0143011,0.00443365,0.527127,692
01-1-000221,74.9992,176.853,75.0001,176.851,67.4715,1.38273,69.5653,65.1587,0.350254,1.06763,131.877,0.00179633,0.00699906,0.134145,0.130716,1.43897,0.00696994,0.0029708,0.993616,754
01-1-000222,70.7809,159.496,70.7809,159.495,11.1513,0.200963,11.4756,10.823,0.332429,1.0603,63.3975,0.000517839,0.0015381,0.0384183,0.0365323,2.77886,0.0127207,0.00504079,1,122
01-1-000223,69.8485,157.436,69.8484,157.436,12.1962,0.147246,12.3048,12.0777,0.19122,1.0188,82.9047,0.000443607,0.00126407,0.0329567,0.0323579,6.70789,0.019087,0.00385955,0.985542,138
01-1-000224,69.7976,153.42,69.7974,153.418,12.7742,0.456837,13.4146,12.0854,0.433985,1.10998,82.8075,0.00130384,0.00343938,0.0972102,0.087672,3.21585,0.0191769,0.0113814,0.986383,149
01-1-000225,68.2081,145.905,68.2078,145.91,10.5162,0.166228,10.8856,10.2597,0.3342,1.06101,156.867,0.000472394,0.00189529,0.0515879,0.0348123,3.14435,0.0154925,0.00618416,0.840453,99
01-1-000226,68.5557,147.274,68.5405,147.261,17.787,0.437543,18.5138,16.0152,0.501705,1.15602,156.518,0.00112512,0.00198192,0.0527646,0.086409,1.10514,0.00910099,0.00705392,0.770644,145
